,id,Constituency,1964 Vote Share,1966 Vote Share,1970 Vote Share,1974 (F) Vote Share,1974 (O) Vote Share,1979 Vote Share,1983 Vote Share,1987 Vote Share,1992 Vote Share,1997 Vote Share,2001 Vote Share,2005 Vote Share,2010 Vote Share,2015 Vote Share,2017 Vote Share,2019 Vote Share,Con Vote,Liberal Vote
148,E14000646,CONGLETON,,,,,,,,,,,,,,,,,na,na
149,E14000647,COPELAND,,,,,,,,,,,,,,,,,na,na
150,E14000648,CORBY,,,,,,,,,,,,,,,,,na,na
151,E14000649,COVENTRY NORTH EAST,,,,,,,,,,,,,,,,,na,na
152,E14000650,COVENTRY NORTH WEST,,,,,,,,,,,,,,,,,na,na
153,E14000651,COVENTRY SOUTH,,,,,,,,,,,,,,,,,na,na
154,E14000652,CRAWLEY,,,,,,,,,,,,,,,,,na,na
155,E14000653,CREWE AND NANTWICH,,,,,,,,,,,,,,,,,na,na
156,E14000654,CROYDON CENTRAL,,,,,,,,,,,,,,,,,na,na
157,E14000655,CROYDON NORTH,,,,,,,,,,,,,,,,,na,na
158,E14000656,CROYDON SOUTH,,,,,,,,,,,,,,,,,na,na
159,S14000012,"CUMBERNAULD, KILSYTH AND KIRKINTILLOCH EAST",,,,,,,,,,,,,,,,,na,na
160,W07000070,CYNON VALLEY,,,,,,,,,,,,,,,,,na,na
161,E14000657,DAGENHAM AND RAINHAM,,,,,,,,,,,,,,,,,na,na
162,E14000658,DARLINGTON,,,,,,,,,,,,,,,,,na,na
163,E14000659,DARTFORD,,,,,,,,,,,,,,,,,na,na
164,E14000660,DAVENTRY,,,,,,,,,,,,,,,,,na,na
165,W07000042,DELYN,,,,,,,,,,,,,,,,,na,na
166,E14000661,DENTON AND REDDISH,,,,,,,,,,,,,,,,,na,na
167,E14000662,DERBY NORTH,,,,,,,,,,,,,,,,,na,na
168,E14000664,DERBYSHIRE DALES,,,,,,,,,,,,,,,,,na,na
169,E14000663,DERBY SOUTH,,,,,,,,,,,,,,,,,na,na
170,E14000665,DEVIZES,,,,,,,,,,,,,,,,,na,na
171,E14000666,DEWSBURY,,,,,,,,,,,,,,,,,na,na
172,E14000668,DONCASTER CENTRAL,,,,,,,,,,,,,,,,,na,na
173,E14000669,DONCASTER NORTH,,,,,,,,,,,,,,,,,na,na
174,E14000667,DON VALLEY,,,,,,,,,,,,,,,,,na,na
175,E14000670,DOVER,,,,,,,,,,,,,,,,,na,na
176,E14000671,DUDLEY NORTH,,,,,,,,,,,,,,,,,na,na
177,E14000672,DUDLEY SOUTH,,,,,,,,,,,,,,,,,na,na
178,E14000673,DULWICH AND WEST NORWOOD,,,,,,,,,,,,,,,,,na,na
179,S14000013,DUMFRIES AND GALLOWAY,,,,,,,,,,,,,,,,,na,na
180,S14000014,"DUMFRIESSHIRE, CLYDESDALE AND TWEEDDALE",,,,,,,,,,,,,,,,,na,na
181,S14000015,DUNDEE EAST,,,,,,,,,,,,,,,,,na,na
182,S14000016,DUNDEE WEST,,,,,,,,,,,,,,,,,na,na
183,S14000017,DUNFERMLINE AND WEST FIFE,,,,,,,,,,,,,,,,,na,na
184,W07000061,DWYFOR MEIRIONNYDD,,,,,,,,,,,,,,,,,na,na
185,E14000674,EALING CENTRAL AND ACTON,,,,,,,,,,,,,,,,,na,na
186,E14000675,EALING NORTH,,,,,,,,,,,,,,,,,na,na
187,E14000676,"EALING, SOUTHALL",,,,,,,,,,,,,,,,,na,na
188,E14000677,EASINGTON,,,,,,,,,,,,,,,,,na,na
189,N06000005,EAST ANTRIM,,,,,,,,,,,,,,,,,na,na
190,E14000684,EASTBOURNE,,,,,,,,,,,,,,,,,na,na
191,E14000678,EAST DEVON,,,,,,,,,,,,,,,,,na,na
192,S14000018,EAST DUNBARTONSHIRE,,,,,,,,,,,,,,,,,na,na
193,E14000679,EAST HAM,,,,,,,,,,,,,,,,,na,na
194,E14000680,EAST HAMPSHIRE,,,,,,,,,,,,,,,,,na,na
195,S14000019,"EAST KILBRIDE, STRATHAVEN AND LESMAHAGOW",,,,,,,,,,,,,,,,,na,na
196,E14000685,EASTLEIGH,,,,,,,,,,,,,,,,,na,na
197,N06000006,EAST LONDONDERRY,,,,,,,,,,,,,,,,,na,na
198,S14000020,EAST LOTHIAN,,,,,,,,,,,,,,,,,na,na
199,S14000021,EAST RENFREWSHIRE,,,,,,,,,,,,,,,,,na,na
200,E14000681,EAST SURREY,,,,,,,,,,,,,,,,,na,na
201,E14000682,EAST WORTHING AND SHOREHAM,,,,,,,,,,,,,,,,,na,na
202,E14000683,EAST YORKSHIRE,,,,,,,,,,,,,,,,,na,na
203,E14000686,EDDISBURY,,,,,,,,,,,,,,,,,na,na
204,S14000022,EDINBURGH EAST,,,,,,,,,,,,,,,,,na,na
205,S14000023,EDINBURGH NORTH AND LEITH,,,,,,,,,,,,,,,,,na,na
206,S14000024,EDINBURGH SOUTH,,,,,,,,,,,,,,,,,na,na
207,S14000025,EDINBURGH SOUTH WEST,,,,,,,,,,,,,,,,,na,na
208,S14000026,EDINBURGH WEST,,,,,,,,,,,,,,,,,na,na
209,E14000687,EDMONTON,,,,,,,,,,,,,,,,,na,na
210,E14000688,ELLESMERE PORT AND NESTON,,,,,,,,,,,,,,,,,na,na
211,E14000689,ELMET AND ROTHWELL,,,,,,,,,,,,,,,,,na,na
212,E14000690,ELTHAM,,,,,,,,,,,,,,,,,na,na
213,E14000691,ENFIELD NORTH,,,,,,,,,,,,,,,,,na,na
214,E14000692,"ENFIELD, SOUTHGATE",,,,,,,,,,,,,,,,,na,na
215,E14000693,EPPING FOREST,,,,,,,,,,,,,,,,,na,na
216,E14000694,EPSOM AND EWELL,,,,,,,,,,,,,,,,,na,na
217,E14000695,EREWASH,,,,,,,,,,,,,,,,,na,na
218,E14000696,ERITH AND THAMESMEAD,,,,,,,,,,,,,,,,,na,na
219,E14000697,ESHER AND WALTON,,,,,,,,,,,,,,,,,na,na
220,E14000698,EXETER,,,,,,,,,,,,,,,,,na,na
221,S14000028,FALKIRK,,,,,,,,,,,,,,,,,na,na
222,E14000699,FAREHAM,,,,,,,,,,,,,,,,,na,na
223,E14000700,FAVERSHAM AND MID KENT,,,,,,,,,,,,,,,,,na,na
224,E14000701,FELTHAM AND HESTON,,,,,,,,,,,,,,,,,na,na
225,N06000007,FERMANAGH AND SOUTH TYRONE,,,,,,,,,,,,,,,,,na,na
226,E14000702,FILTON AND BRADLEY STOKE,,,,,,,,,,,,,,,,,na,na
227,E14000703,FINCHLEY AND GOLDERS GREEN,,,,,,,,,,,,,,,,,na,na
228,E14000704,FOLKESTONE AND HYTHE,,,,,,,,,,,,,,,,,na,na
229,E14000705,FOREST OF DEAN,,,,,,,,,,,,,,,,,na,na
230,N06000008,FOYLE,,,,,,,,,,,,,,,,,na,na
231,E14000706,FYLDE,,,,,,,,,,,,,,,,,na,na
232,E14000707,GAINSBOROUGH,,,,,,,,,,,,,,,,,na,na
233,E14000708,GARSTON AND HALEWOOD,,,,,,,,,,,,,,,,,na,na
234,E14000709,GATESHEAD,,,,,,,,,,,,,,,,,na,na
235,E14000710,GEDLING,,,,,,,,,,,,,,,,,na,na
236,E14000711,GILLINGHAM AND RAINHAM,,,,,,,,,,,,,,,,,na,na
237,S14000029,GLASGOW CENTRAL,,,,,,,,,,,,,,,,,na,na
238,S14000030,GLASGOW EAST,,,,,,,,,,,,,,,,,na,na
239,S14000031,GLASGOW NORTH,,,,,,,,,,,,,,,,,na,na
240,S14000032,GLASGOW NORTH EAST,,,,,,,,,,,,,,,,,na,na
241,S14000033,GLASGOW NORTH WEST,,,,,,,,,,,,,,,,,na,na
242,S14000034,GLASGOW SOUTH,,,,,,,,,,,,,,,,,na,na
243,S14000035,GLASGOW SOUTH WEST,,,,,,,,,,,,,,,,,na,na
244,S14000036,GLENROTHES,,,,,,,,,,,,,,,,,na,na
245,E14000712,GLOUCESTER,,,,,,,,,,,,,,,,,na,na
246,S14000037,GORDON,,,,,,,,,,,,,,,,,na,na
247,E14000713,GOSPORT,,,,,,,,,,,,,,,,,na,na
248,W07000046,GOWER,,,,,,,,,,,,,,,,,na,na
249,E14000714,GRANTHAM AND STAMFORD,,,,,,,,,,,,,,,,,na,na
250,E14000715,GRAVESHAM,,,,,,,,,,,,,,,,,na,na
251,E14000716,GREAT GRIMSBY,,,,,,,,,,,,,,,,,na,na
252,E14000717,GREAT YARMOUTH,,,,,,,,,,,,,,,,,na,na
253,E14000718,GREENWICH AND WOOLWICH,,,,,,,,,,,,,,,,,na,na
254,E14000719,GUILDFORD,,,,,,,,,,,,,,,,,na,na
255,E14000720,HACKNEY NORTH AND STOKE NEWINGTON,,,,,,,,,,,,,,,,,na,na
256,E14000721,HACKNEY SOUTH AND SHOREDITCH,,,,,,,,,,,,,,,,,na,na
257,E14000722,HALESOWEN AND ROWLEY REGIS,,,,,,,,,,,,,,,,,na,na
258,E14000723,HALIFAX,,,,,,,,,,,,,,,,,na,na
259,E14000724,HALTEMPRICE AND HOWDEN,,,,,,,,,,,,,,,,,na,na
260,E14000725,HALTON,,,,,,,,,,,,,,,,,na,na
261,E14000726,HAMMERSMITH,,,,,,,,,,,,,,,,,na,na
